name	pop	popcol
ABC1	ABCbc	blue4
ABC10	ABCa	mediumblue
ABC11	ABCbc	blue4
ABC12	ABCbc	blue4
ABC13	ABCa	mediumblue
ABC14	ABCbc	blue4
ABC15	ABCcoast2	slateblue3
ABC16	ABCcoast2	slateblue3
ABC2	ABCbc	blue4
ABC3	ABCbc	blue4
ABC4	ABCbc	blue4
ABC5	ABCbc	blue4
ABC6	ABCa	mediumblue
ABC7	ABCa	mediumblue
ABC8	ABCa	mediumblue
ABC9	ABCa	mediumblue
Alaska1	Kodiak	lightskyblue3
Alaska11	Alaska	steelblue3
Alaska12	Alaska	steelblue3
Alaska2	Alaska	steelblue3
Alaska3	Alaska	steelblue3
Alaska7	Alaska	steelblue3
Alaska9	Alaska	steelblue3
AlaskaN1	Alaska	steelblue3
AlaskaSW1	Aleutian	deepskyblue
AlaskaSW2	Aleutian	deepskyblue
AlaskaSW3	Aleutian	deepskyblue
AlaskaW1	Alaska	steelblue3
Americanblack1	Black	black
Americanblack2	Black	black
Amur1	Amur	darkgreen
Amur2	Amur	darkgreen
Amur3	Amur	darkgreen
Amur4	Sakhalin	lightseagreen
Amur5	Yakutia	limegreen
Canada1	Westcoast	mediumpurple2
Canada10	HudsonBay	darkorchid4
Canada11	HudsonBay	darkorchid4
Canada12	HudsonBay	darkorchid4
Canada2	HudsonBay	darkorchid4
Canada3	HudsonBay	darkorchid4
Canada4	HudsonBay	darkorchid4
Canada5	HudsonBay	darkorchid4
Canada6	HudsonBay	darkorchid4
Canada7	HudsonBay	darkorchid4
Canada8	HudsonBay	darkorchid4
Canada9	HudsonBay	darkorchid4
CentralRussia1	Ural	yellow2
CentralRussia2	CentreRus2	bisque3
CentralRussia3	CentreRus	greenyellow
CentralRussia4	CentreRus	greenyellow
CentralRussia5	Ural	yellow2
Estonia1	Baltic	gold3
Estonia2	Baltic	gold3
FarEast1	Magadan	aquamarine2
FarEast10	Magadan	aquamarine2
FarEast11	Magadan	aquamarine2
FarEast2	Magadan	aquamarine2
FarEast3	Magadan	aquamarine2
FarEast4	Magadan	aquamarine2
FarEast6	Yakutia	limegreen
FarEast7	Yakutia	limegreen
FarEast8	Yakutia	limegreen
FarEast9	Yakutia	limegreen
Finland	Baltic	gold3
Finland2	Baltic	gold3
Finland3	Baltic	gold3
Georgia	MiddleEast	grey50
Greece1	Europe	darkred
Himalaya1	Himalaya	grey20
Hokkaido1	Hokkaido	darkcyan
HokkaidoCentral1	Hokkaido	darkcyan
HokkaidoCentral2	Hokkaido	darkcyan
HokkaidoEast1	Hokkaido	darkcyan
HokkaidoEast2	Hokkaido	darkcyan
HokkaidoSouth1	Hokkaido	darkcyan
HokkaidoSouth2	Hokkaido	darkcyan
IranGudrun	MiddleEast	grey50
Italy1	Europe	darkred
Kamtschatka3	Kamtchatka	cyan2
Kamtschatka4	Kamtchatka	cyan2
Kirkenes	NorthScand	orange
Kodiak1	Kodiak	lightskyblue3
Kodiak2	Kodiak	lightskyblue3
Kodiak3	Kodiak	lightskyblue3
Kodiak4	Kodiak	lightskyblue3
Kodiak5	Kodiak	lightskyblue3
Kodiak6	Kodiak	lightskyblue3
Montana	Westcoast	mediumpurple2
NorthSweden	MidScand	indianred1
Norway1	NorthScand	orange
Norway2	NorthScand	orange
Norway3	NorthScand	orange
Norway4	NorthScand	orange
Norway6	NorthScand	orange
Norway7	MidScand	orange
Norway8	NorthScand	orange
polar1	polar	blue
polar4	polar	blue
polarSvalbard1	polar	blue
polarSvalbard2	polar	blue
Rumania1	Europe	darkred
Rumania2	Europe	darkred
Rumania3	Europe	darkred
Rumania4	Europe	darkred
Rumania5	Europe	darkred
Russia	CentreRus	greenyellow
Russia_Kola1	NorthScand	orange
Russia_Kola3	NorthScand	orange
Slovakia1	Europe	darkred
Slovenia	Europe	darkred
Slovenia1	Europe	darkred
SouthNorway1	SouthScand	orangered3
SouthNorway2	SouthScand	orangered3
SouthNorway3	SouthScand	orangered3
SouthNorway4	MidScand	indianred1
SouthNorway5	SouthScand	orangered3
SouthNorway6	MidScand	indianred1
SouthNorway7	MidScand	indianred1
SouthSweden	SouthScand	orangered3
Spain1	Europe	darkred
Sweden3	SouthScand	orangered3
TorontoZoo	ABCcoast1	darkorchid2
TurkeyMartin	MiddleEast	grey50
Ural1	Ural	yellow2
Ural2	Ural	yellow2
Ural3	Ural	yellow2
Ural4	Ural	yellow2
Ural5	Ural	yellow2
Ural6	Ural	yellow2
US1	Westcoast	mediumpurple2
US2	Westcoast	mediumpurple2
US3	Westcoast	mediumpurple2
US6	Westcoast	mediumpurple2
US8	Westcoast	mediumpurple2
